full_item,stage1_code,stage2_code,combined_target,combine_text,category_stage1,category_stage2,category_combined
"Provide all labor, materials and equipment for automatic sliding door operator for main building entry and vestibule. per door and hardware schedule on drawings. Hardware to include lever handles, closers, and hinges per hardware schedule.",08,10,08 10,provide labor material equipment automatic slide door operator main building entry vestibule door hardware schedule drawing hardware include lever handle closer hinge hardware schedule,category_stage1_04,category_stage2_002,category_stage1_04__category_stage2_002
RE: Metal Decking – Request for approval: cellular metal floor deck for electrical raceway for use for composite floor system at all elevated levels. Deck to be welded to supports at 12 inches on center. per composite design per AISC 360 Chapter I.,05,30,05 30,metal decking request approval cellular metal floor deck electrical raceway use composite floor system elevated level deck weld support inch center composite design aisc chapter,category_stage1_02,category_stage2_004,category_stage1_02__category_stage2_004
installation of sheet vinyl flooring for healthcare corridors including all necessary accessories and hardware. per manufacturer installation instructions.,09,60,09 60,installation sheet vinyl flooring healthcare corridor include necessary accessory hardware manufacturer installation instruction,category_stage1_05,category_stage2_007,category_stage1_05__category_stage2_007
Supply and install polyiso rigid insulation for roof assembly for continuous insulation at building envelope. Insulation to be unfaced or kraft-faced as indicated. per project specification Section 07 20 00.,07,20,07 20,supply install polyiso rigid insulation roof assembly continuous insulation building envelope insulation unfaced kraft face indicate project specification section,category_stage1_03,category_stage2_003,category_stage1_03__category_stage2_003
Subcontractor bid for equipment support steel framing. Location: for equipment pads and roof penetration supports. All exposed steel to be hot-dip galvanized after fabrication.,05,50,05 50,subcontractor bid equipment support steel framing location equipment pad roof penetration support expose steel hot dip galvanize fabrication,category_stage1_02,category_stage2_006,category_stage1_02__category_stage2_006
Proposal for fabrication and installation of insulating concrete forms (ICF) for elevated slab construction at level 2 through roof. Allow for three reuses of formwork panels.,03,10,03 10,proposal fabrication installation insulate concrete form icf elevated slab construction level roof allow reuse formwork panel,category_stage1_01,category_stage2_002,category_stage1_01__category_stage2_002
Furnish and install triple-glazed high-performance IGU as indicated on drawings and per ASTM C1048 for flat glass specifications. Glass to meet ANSI Z97.1 safety glazing requirements.,08,80,08 80,furnish install triple glaze high performance igu indicate drawing astm c flat glass specification glass meet ansi z safety glazing requirement,category_stage1_04,category_stage2_009,category_stage1_04__category_stage2_009
Furnish and install gas-fired hot water boiler 2000 MBH as indicated on drawings and per project specification Section 23 70 00. Boiler efficiency exceeds ASHRAE 90.1 minimum requirement.,23,70,23 70,furnish install gas fire hot water boiler mbh indicate drawing project specification section boiler efficiency exceed ashrae minimum requirement,category_stage1_07,category_stage2_008,category_stage1_07__category_stage2_008
Furnish and install seismic bracing for electrical equipment as indicated on drawings and per UL listed materials and components. All wiring and raceway per National Electrical Code (NEC).,26,05,26 05,furnish install seismic bracing electrical equipment indicate drawing ul list material component wiring raceway national electrical code nec,category_stage1_08,category_stage2_001,category_stage1_08__category_stage2_001
Subject: Material Submittal – Request for approval: automatic transfer switch (ATS) 400A for use for main electrical service and distribution. Equipment to be UL 891 listed and labeled. per utility company service entrance requirements.,26,20,26 20,subject material submittal request approval automatic transfer switch at use main electrical service distribution equipment ul list label utility company service entrance requirement,category_stage1_08,category_stage2_003,category_stage1_08__category_stage2_003
Furnish and install wired glass for fire-rated openings as indicated on drawings and per glazing contractor shop drawings. Mock-up panel required for architect approval before production.,08,80,08 80,furnish install wire glass fire rat opening indicate drawing glaze contractor shop drawing mock panel require architect approval production,category_stage1_04,category_stage2_009,category_stage1_04__category_stage2_009
Subcontractor bid for vinyl casement windows with Low-E glass. Location: for high-rise building perimeter. Windows to be factory-assembled and glazed.,08,50,08 50,subcontractor bid vinyl casement window low e glass location high rise building perimeter window factory assemble glaze,category_stage1_04,category_stage2_006,category_stage1_04__category_stage2_006
Quotation for expansion tank for domestic water system for kitchen grease waste management. Includes electrical connections by others coordination required. per ASME Boiler and Pressure Vessel Code.,22,30,22 30,quotation expansion tank domestic water system kitchen grease waste management include electrical connection coordination require asme boiler pressure vessel code,category_stage1_06,category_stage2_004,category_stage1_06__category_stage2_004
Vendor submittal: non-composite roof deck panels. Deck to be welded to supports at 12 inches on center. per SDI (Steel Deck Institute) standards.,05,30,05 30,vendor submittal non composite roof deck panel deck weld support inch center sdi steel deck institute standard,category_stage1_02,category_stage2_004,category_stage1_02__category_stage2_004
Vendor submittal: duct silencers and sound attenuators. TAB (Testing Adjusting Balancing) included in scope. per SMACNA HVAC Duct Construction Standards.,23,30,23 30,vendor submittal duct silencer sound attenuator tab testing adjust balancing include scope smacna hvac duct construction standard,category_stage1_07,category_stage2_004,category_stage1_07__category_stage2_004
"This submittal covers the delivery, rigging and startup of mini-split ductless air conditioning system for office building comfort cooling. All work to comply with per ASHRAE 90.1 minimum efficiency requirements. Vibration isolation pads and curb adapter included.",23,60,23 60,submittal cover delivery rigging startup mini split ductless air conditioning system office building comfort cool work comply ashrae minimum efficiency requirement vibration isolation pad curb adapter include,category_stage1_07,category_stage2_007,category_stage1_07__category_stage2_007
VENDOR SUBMITTAL: Supply and install dry-type transformer 75 kVA 480V to 208/120V for tenant electrical metering and sub-distribution. Arc flash study and labels required per NFPA 70E. per utility company service entrance requirements.,26,20,26 20,vendor submittal supply install dry type transformer kva v v tenant electrical metering sub distribution arc flash study label require nfpa e utility company service entrance requirement,category_stage1_08,category_stage2_003,category_stage1_08__category_stage2_003
Material submittal for explosion-proof lighting for hazardous locations. Emergency fixtures with 90-minute battery backup per code. Refer to per IES recommended lighting levels for occupancy type.,26,50,26 50,material submittal explosion proof light hazardous location emergency fixture minute battery backup code refer ies recommend lighting level occupancy type,category_stage1_08,category_stage2_006,category_stage1_08__category_stage2_006
RE: Painting and Coating – Material submittal for elastomeric exterior wall coating. Touch-up painting at all trades damage at project completion. Refer to per project specification Section 09 90 00.,09,90,09 90,paint coat material submittal elastomeric exterior wall coating touch painting trade damage project completion refer project specification section,category_stage1_05,category_stage2_010,category_stage1_05__category_stage2_010
VENDOR SUBMITTAL: supply and installation of carpet tile modular 24x24 with adhesive including all necessary accessories and hardware. per manufacturer installation instructions.,09,60,09 60,vendor submittal supply installation carpet tile modular x adhesive include necessary accessory hardware manufacturer installation instruction,category_stage1_05,category_stage2_007,category_stage1_05__category_stage2_007
"This submittal covers the supply and installation of backflow preventer and pressure reducing valve for restroom and kitchen plumbing rough-in. All work to comply with per ASME B31.9 building services piping. Includes all valves, supports, hangers and seismic bracing.",22,10,22 10,submittal cover supply installation backflow preventer pressure reduce valve restroom kitchen plumb rough work comply asme b building service piping include valve support hanger seismic bracing,category_stage1_06,category_stage2_002,category_stage1_06__category_stage2_002
"PROJECT PROPOSAL: This submittal covers the procurement and mounting of vitreous china water closet (toilet) floor-mounted for public restrooms per fixture schedule. All work to comply with per project specification Section 22 40 00. Includes all trim, supplies, stops and connection fittings.",22,40,22 40,project proposal submittal cover procurement mount vitreous china water closet toilet floor mount public restroom fixture schedule work comply project specification section include trim supply stop connection fitting,category_stage1_06,category_stage2_005,category_stage1_06__category_stage2_005
supply and installation of hollow metal door frames 16-gauge welded including all necessary accessories and hardware. per project specification Section 08 10 00.,08,10,08 10,supply installation hollow metal door frame gauge weld include necessary accessory hardware project specification section,category_stage1_04,category_stage2_002,category_stage1_04__category_stage2_002
RE: Plumbing Equipment – Furnish and install commercial gas-fired water heater 100-gallon as indicated on drawings and per project specification Section 22 30 00. 5-year manufacturer warranty on heat exchanger.,22,30,22 30,plumb equipment furnish install commercial gas fire water heater gallon indicate drawing project specification section year manufacturer warranty heat exchanger,category_stage1_06,category_stage2_004,category_stage1_06__category_stage2_004
Material submittal for fire-rated steel doors and frames 90-minute. Finish: factory-applied powder coat paint. Refer to per door and hardware schedule on drawings.,08,10,08 10,material submittal fire rat steel door frame minute finish factory apply powder coat paint refer door hardware schedule drawing,category_stage1_04,category_stage2_002,category_stage1_04__category_stage2_002
SCOPE OF WORK DESCRIPTION: Vendor submittal: ADA-compliant accessible plumbing fixtures. Fixtures to be white vitreous china unless noted otherwise. per ASME A112.19.2 for vitreous china fixtures.,22,40,22 40,scope work description vendor submittal ada compliant accessible plumbing fixture fixture white vitreous china note asme vitreous china fixture,category_stage1_06,category_stage2_005,category_stage1_06__category_stage2_005
Material submittal for mineral wool semi-rigid insulation board. Insulation to be unfaced or kraft-faced as indicated. Refer to per manufacturer technical data and installation guide.,07,20,07 20,material submittal mineral wool semi rigid insulation board insulation unfaced kraft face indicate refer manufacturer technical datum installation guide,category_stage1_03,category_stage2_003,category_stage1_03__category_stage2_003
Supply and install glass mat gypsum sheathing for exterior for fire-rated corridor and stairwell assemblies. Partitions to achieve fire rating per UL assembly design. per project specification Section 09 20 00.,09,20,09 20,supply install glass mat gypsum sheathe exterior fire rat corridor stairwell assembly partition achieve fire rating ul assembly design project specification section,category_stage1_05,category_stage2_003,category_stage1_05__category_stage2_003
Supply and install metal deck pour stops and closures for metal building roof deck replacement. Minimum bearing length 2 inches on structural steel supports. per project specification Section 05 30 00.,05,30,05 30,supply install metal deck pour stop closure metal building roof deck replacement minimum bearing length inch structural steel support project specification section,category_stage1_02,category_stage2_004,category_stage1_02__category_stage2_004
"Scope of work includes fabrication and installation of fabric ductwork for open ceiling areas for HVAC air distribution throughout building. Includes all hangers, supports and seismic bracing per code.",23,30,23 30,scope work include fabrication installation fabric ductwork open ceiling area hvac air distribution building include hanger support seismic bracing code,category_stage1_07,category_stage2_004,category_stage1_07__category_stage2_004
furnishing and glazing of curtain wall window system unitized including all necessary accessories and hardware. per energy code and ASHRAE 90.1 requirements.,08,50,08 50,furnish glazing curtain wall window system unitize include necessary accessory hardware energy code ashrae requirement,category_stage1_04,category_stage2_006,category_stage1_04__category_stage2_006
"RE: Painting and Coating – Subcontractor bid for elastomeric exterior wall coating. Location: for millwork, casework and trim. VOC content to comply with LEED IEQ v4 requirements.",09,90,09 90,paint coat subcontractor bid elastomeric exterior wall coating location millwork casework trim voc content comply leed ieq v requirement,category_stage1_05,category_stage2_010,category_stage1_05__category_stage2_010
Subcontractor bid for cooling tower induced draft crossflow. Location: for office building comfort cooling. Factory startup and commissioning by manufacturer representative.,23,60,23 60,subcontractor bid cool tower induce draft crossflow location office building comfort cool factory startup commission manufacturer representative,category_stage1_07,category_stage2_007,category_stage1_07__category_stage2_007
"Supply and install explosion-proof lighting for hazardous locations for parking garage and canopy lighting. All fixtures to be LED with minimum 50,000-hour rated life. per DesignLights Consortium (DLC) qualified products list.",26,50,26 50,supply install explosion proof light hazardous location parking garage canopy light fixture lead minimum hour rat life designlight consortium dlc qualified product list,category_stage1_08,category_stage2_006,category_stage1_08__category_stage2_006
SCOPE OF WORK DESCRIPTION: Request for approval: tankless instantaneous water heater for use for kitchen grease waste management. 5-year manufacturer warranty on heat exchanger. per local health and plumbing code requirements.,22,30,22 30,scope work description request approval tankless instantaneous water heater use kitchen grease waste management year manufacturer warranty heat exchanger local health plumb code requirement,category_stage1_06,category_stage2_004,category_stage1_06__category_stage2_004
Subject: Material Submittal – pouring and curing of self-consolidating concrete (SCC) including all necessary accessories and hardware. per ACI 318 and ACI 301 specifications.,03,30,03 30,subject material submittal pour curing self consolidate concrete scc include necessary accessory hardware aci aci specification,category_stage1_01,category_stage2_004,category_stage1_01__category_stage2_004
pouring and curing of air-entrained concrete for exterior flatwork including all necessary accessories and hardware. per approved concrete mix design.,03,30,03 30,pour curing air entrain concrete exterior flatwork include necessary accessory hardware approve concrete mix design,category_stage1_01,category_stage2_004,category_stage1_01__category_stage2_004
"Request for approval: motor control center (MCC) with VFDs for use for tenant electrical metering and sub-distribution. Generator includes sub-base fuel tank, muffler and weatherproof enclosure. per NFPA 110 for emergency power systems.",26,20,26 20,request approval motor control center mcc vfds use tenant electrical metering sub distribution generator include sub base fuel tank muffler weatherproof enclosure nfpa emergency power system,category_stage1_08,category_stage2_003,category_stage1_08__category_stage2_003
placement of bar supports and chairs for rebar placement including all necessary accessories and hardware. in accordance with Section 03 20 00.,03,20,03 20,placement bar support chair rebar placement include necessary accessory hardware accordance section,category_stage1_01,category_stage2_003,category_stage1_01__category_stage2_003
Supply and install acoustic insulation for interior partitions for attic floor and knee wall insulation. R-value verified by third-party testing per ASTM C518. per ASHRAE 90.1 energy code requirements.,07,20,07 20,supply install acoustic insulation interior partition attic floor knee wall insulation r value verify party testing astm c ashrae energy code requirement,category_stage1_03,category_stage2_003,category_stage1_03__category_stage2_003
PROJECT PROPOSAL: Vendor submittal: exterior acrylic paint system with primer. VOC content to comply with LEED IEQ v4 requirements. per MPI (Master Painters Institute) standards.,09,90,09 90,project proposal vendor submittal exterior acrylic paint system primer voc content comply leed ieq v requirement mpi master painters institute standard,category_stage1_05,category_stage2_010,category_stage1_05__category_stage2_010
Subcontractor bid for concrete placement and finishing for foundations. Location: for exterior sidewalks and curbs. Water-to-cement ratio not to exceed 0.45.,03,30,03 30,subcontractor bid concrete placement finish foundation location exterior sidewalk curb water cement ratio exceed,category_stage1_01,category_stage2_004,category_stage1_01__category_stage2_004
Subcontractor bid for fiberglass batt insulation R-19 for exterior walls. Location: for exterior wall cavities and stud bays. Includes vapor retarder on warm side of assembly.,07,20,07 20,subcontractor bid fiberglass batt insulation r exterior wall location exterior wall cavity stud bay include vapor retarder warm assembly,category_stage1_03,category_stage2_003,category_stage1_03__category_stage2_003
SCOPE OF WORK DESCRIPTION: duct installation of duct-mounted fire and smoke dampers including all necessary accessories and hardware. per mechanical drawings and duct layout schedule.,23,30,23 30,scope work description duct installation duct mount fire smoke damper include necessary accessory hardware mechanical drawing duct layout schedule,category_stage1_07,category_stage2_004,category_stage1_07__category_stage2_004
VENDOR SUBMITTAL: This submittal covers the application of spray-applied polyurethane foam insulation (SPF) for exterior wall cavities and stud bays. All work to comply with per project specification Section 07 20 00. Fire rating: Class A flame spread per ASTM E84.,07,20,07 20,vendor submittal submittal cover application spray apply polyurethane foam insulation spf exterior wall cavity stud bay work comply project specification section fire rating class flame spread astm e,category_stage1_03,category_stage2_003,category_stage1_03__category_stage2_003
Material submittal for equipment support steel framing. All exposed steel to be hot-dip galvanized after fabrication. Refer to per ADA and local building code requirements.,05,50,05 50,material submittal equipment support steel frame expose steel hot dip galvanize fabrication refer ada local building code requirement,category_stage1_02,category_stage2_006,category_stage1_02__category_stage2_006
RE: Membrane Roofing – Material submittal for PVC single-ply roofing membrane with hot-air welded seams. System includes 20-year NDL (No Dollar Limit) manufacturer warranty. Refer to per FM Global and UL listed roof assembly.,07,50,07 50,membrane roofing material submittal pvc single ply roofing membrane hot air weld seam system include year ndl dollar limit manufacturer warranty refer fm global ul list roof assembly,category_stage1_03,category_stage2_006,category_stage1_03__category_stage2_006
procurement and installation of fire-rated glazing assemblies 60-minute including all necessary accessories and hardware. per project specification Section 08 80 00.,08,80,08 80,procurement installation fire rat glazing assembly minute include necessary accessory hardware project specification section,category_stage1_04,category_stage2_009,category_stage1_04__category_stage2_009
Request for approval: galvanized corrugated steel decking for use for composite floor system at all elevated levels. Includes temporary shoring during concrete placement. per composite design per AISC 360 Chapter I.,05,30,05 30,request approval galvanize corrugated steel decking use composite floor system elevated level include temporary shoring concrete placement composite design aisc chapter,category_stage1_02,category_stage2_004,category_stage1_02__category_stage2_004
Material submittal for rebar dowels and starter bars. Mill certifications required for all reinforcing steel. Refer to per CRSI Manual of Standard Practice.,03,20,03 20,material submittal rebar dowel starter bar mill certification require reinforce steel refer crsi manual standard practice,category_stage1_01,category_stage2_003,category_stage1_01__category_stage2_003
