full_item,stage1_code,stage1_name,stage2_code,stage2_name,stage1_label,stage2_label
Supply and install ADA-compliant accessible plumbing fixtures for commercial kitchen and break rooms. All fixtures to be water-efficient per WaterSense label. per ADA and ICC/ANSI A117.1 accessibility standard.,22,Plumbing,22 40 00,Plumbing Fixtures,Category 22 - Plumbing,22 40 00 Plumbing Fixtures
Furnish and install post-tensioning tendons and anchors as indicated on drawings and per CRSI Manual of Standard Practice. Lap splices per ACI 318 development length requirements.,03,Concrete,03 20 00,Concrete Reinforcing,Category 03 - Concrete,03 20 00 Concrete Reinforcing
Furnish and install bird-friendly fritted glass panels as indicated on drawings and per project specification Section 08 80 00. Insulated units with warm-edge spacer and argon gas fill.,08,Openings,08 80 00,Glazing,Category 08 - Openings,08 80 00 Glazing
"Subject: Material Submittal – Scope of work includes supply and installation of backflow preventer and pressure reducing valve for building domestic water distribution system. Includes core drilling, firestopping and sleeve installation.",22,Plumbing,22 10 00,Plumbing Piping and Pumps,Category 22 - Plumbing,22 10 00 Plumbing Piping and Pumps
Furnish and install VRF (variable refrigerant flow) outdoor condensing units as indicated on drawings and per project specification Section 23 60 00. Vibration isolation pads and curb adapter included.,23,HVAC,23 60 00,Central Cooling Equipment,Category 23 - HVAC,23 60 00 Central Cooling Equipment
Supply and install emergency eyewash and shower station for janitor closets and service areas. Fixtures to be white vitreous china unless noted otherwise. per ASME A112.19.2 for vitreous china fixtures.,22,Plumbing,22 40 00,Plumbing Fixtures,Category 22 - Plumbing,22 40 00 Plumbing Fixtures
Scope of work includes fabrication and placement of reinforcing bar couplers (mechanical splices) for concrete columns and beams. Lap splices per ACI 318 development length requirements.,03,Concrete,03 20 00,Concrete Reinforcing,Category 03 - Concrete,03 20 00 Concrete Reinforcing
RE: HVAC Air Distribution – Request for approval: supply air diffusers and return air grilles for use for rooftop air handling unit connections. Insulation: 2-inch fiberglass duct wrap with vapor barrier. per project specification Section 23 30 00.,23,HVAC,23 30 00,HVAC Air Distribution,Category 23 - HVAC,23 30 00 HVAC Air Distribution
"Supply and install domestic water booster pump station for sanitary sewer and storm drain piping. Pipe connections: soldered for copper, solvent welded for PVC. per ASME B31.9 building services piping.",22,Plumbing,22 10 00,Plumbing Piping and Pumps,Category 22 - Plumbing,22 10 00 Plumbing Piping and Pumps
"Request for approval: copper Type L water supply piping and fittings for use for sanitary sewer and storm drain piping. Pipe connections: soldered for copper, solvent welded for PVC. per project specification Section 22 10 00.",22,Plumbing,22 10 00,Plumbing Piping and Pumps,Category 22 - Plumbing,22 10 00 Plumbing Piping and Pumps
"Vendor submittal: steel fixed-lite windows for industrial. Includes all sealants, flashing and perimeter caulking. per project specification Section 08 50 00.",08,Openings,08 50 00,Windows,Category 08 - Openings,08 50 00 Windows
Subject: Material Submittal – Supply and install grounding and bonding system with ground rods for underground electrical duct bank to building. As-built drawings required showing all concealed raceway routing. per NECA installation standards.,26,Electrical,26 05 00,Common Work Results for Electrical,Category 26 - Electrical,26 05 00 Common Work Results for Electrical
"Subject: Material Submittal – Furnish and install vinyl casement windows with Low-E glass as indicated on drawings and per approved window schedule and shop drawings. Includes all sealants, flashing and perimeter caulking.",08,Openings,08 50 00,Windows,Category 08 - Openings,08 50 00 Windows
"Supply and install grounding and bonding system with ground rods for grounding electrode system per NEC. Includes all supports, straps and seismic bracing. per NECA installation standards.",26,Electrical,26 05 00,Common Work Results for Electrical,Category 26 - Electrical,26 05 00 Common Work Results for Electrical
Material submittal for raised access flooring system 6-inch pedestal. Transition strips at all flooring material changes. Refer to per ASTM F710 for substrate preparation.,09,Finishes,09 60 00,Flooring,Category 09 - Finishes,09 60 00 Flooring
"SCOPE OF WORK DESCRIPTION: Provide all labor, materials and equipment for steel pipe bollards with concrete fill for interior and exterior metal railings. per architectural detail drawings. All exposed steel to be hot-dip galvanized after fabrication.",05,Metals,05 50 00,Metal Fabrications,Category 05 - Metals,05 50 00 Metal Fabrications
Subject: Material Submittal – Request for approval: rubber athletic flooring for gymnasium for use for gymnasium and multipurpose room. Moisture testing required per ASTM F2170 before installation. per project specification Section 09 60 00.,09,Finishes,09 60 00,Flooring,Category 09 - Finishes,09 60 00 Flooring
delivery and installation of automatic sensor faucets and flush valves including all necessary accessories and hardware. per project specification Section 22 40 00.,22,Plumbing,22 40 00,Plumbing Fixtures,Category 22 - Plumbing,22 40 00 Plumbing Fixtures
Supply and install rubber athletic flooring for gymnasium for gymnasium and multipurpose room. Base: 4-inch rubber or tile cove base at all walls. per manufacturer installation instructions.,09,Finishes,09 60 00,Flooring,Category 09 - Finishes,09 60 00 Flooring
BID ITEM: Proposal for supply and installation of electric resistance duct heater for building central heating system. Boiler efficiency exceeds ASHRAE 90.1 minimum requirement.,23,HVAC,23 70 00,Central Heating Equipment,Category 23 - HVAC,23 70 00 Central Heating Equipment
Request for approval: wall-hung lavatory sink with faucet for use for laboratory and medical exam rooms. Fixtures to be white vitreous china unless noted otherwise. per ADA and ICC/ANSI A117.1 accessibility standard.,22,Plumbing,22 40 00,Plumbing Fixtures,Category 22 - Plumbing,22 40 00 Plumbing Fixtures
Supply and install wired glass for fire-rated openings for building lobby and atrium glazing. Insulated units with warm-edge spacer and argon gas fill. per ASTM C1048 for flat glass specifications.,08,Openings,08 80 00,Glazing,Category 08 - Openings,08 80 00 Glazing
Vendor submittal: radiant ceiling panel heating system. Controls integrated with building automation system (BAS). per local mechanical and fuel gas code.,23,HVAC,23 70 00,Central Heating Equipment,Category 23 - HVAC,23 70 00 Central Heating Equipment
RE: Glazing – This submittal covers the glazing of 1-inch insulated glazing units (IGU) Low-E coated for canopy and skylight overhead glazing. All work to comply with per IGCC standards for insulating glass. Mock-up panel required for architect approval before production.,08,Openings,08 80 00,Glazing,Category 08 - Openings,08 80 00 Glazing
Supply and install fire-rated glazing assemblies 60-minute for fire-rated glazing at rated corridors. Insulated units with warm-edge spacer and argon gas fill. per ASTM C1048 for flat glass specifications.,08,Openings,08 80 00,Glazing,Category 08 - Openings,08 80 00 Glazing
furnishing and piping of condensing high-efficiency boiler 95% AFUE including all necessary accessories and hardware. per ASME Boiler and Pressure Vessel Code for boilers.,23,HVAC,23 70 00,Central Heating Equipment,Category 23 - HVAC,23 70 00 Central Heating Equipment
Vendor submittal: self-consolidating concrete (SCC). Portland cement Type I/II with 3/4 inch maximum aggregate. per approved concrete mix design.,03,Concrete,03 30 00,Cast-in-Place Concrete,Category 03 - Concrete,03 30 00 Cast-in-Place Concrete
Vendor submittal: metal roof deck 1.5-inch Type B 22 gauge. Deck to be welded to supports at 12 inches on center. per project specification Section 05 30 00.,05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
"Supply and install steel dumpster enclosure frame for interior and exterior metal railings. Includes all anchors, fasteners and connection hardware. per project specification Section 05 50 00.",05,Metals,05 50 00,Metal Fabrications,Category 05 - Metals,05 50 00 Metal Fabrications
"Provide all labor, materials and equipment for automatic sliding door operator for main building entry and vestibule. per door and hardware schedule on drawings. Hardware to include lever handles, closers, and hinges per hardware schedule.",08,Openings,08 10 00,Doors and Frames,Category 08 - Openings,08 10 00 Doors and Frames
RE: Metal Decking – Request for approval: cellular metal floor deck for electrical raceway for use for composite floor system at all elevated levels. Deck to be welded to supports at 12 inches on center. per composite design per AISC 360 Chapter I.,05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
installation of sheet vinyl flooring for healthcare corridors including all necessary accessories and hardware. per manufacturer installation instructions.,09,Finishes,09 60 00,Flooring,Category 09 - Finishes,09 60 00 Flooring
Supply and install polyiso rigid insulation for roof assembly for continuous insulation at building envelope. Insulation to be unfaced or kraft-faced as indicated. per project specification Section 07 20 00.,07,Thermal and Moisture Protection,07 20 00,Thermal Insulation,Category 07 - Thermal and Moisture Protection,07 20 00 Thermal Insulation
Subcontractor bid for equipment support steel framing. Location: for equipment pads and roof penetration supports. All exposed steel to be hot-dip galvanized after fabrication.,05,Metals,05 50 00,Metal Fabrications,Category 05 - Metals,05 50 00 Metal Fabrications
Proposal for fabrication and installation of insulating concrete forms (ICF) for elevated slab construction at level 2 through roof. Allow for three reuses of formwork panels.,03,Concrete,03 10 00,Concrete Forming and Accessories,Category 03 - Concrete,03 10 00 Concrete Forming and Accessories
Furnish and install triple-glazed high-performance IGU as indicated on drawings and per ASTM C1048 for flat glass specifications. Glass to meet ANSI Z97.1 safety glazing requirements.,08,Openings,08 80 00,Glazing,Category 08 - Openings,08 80 00 Glazing
Furnish and install gas-fired hot water boiler 2000 MBH as indicated on drawings and per project specification Section 23 70 00. Boiler efficiency exceeds ASHRAE 90.1 minimum requirement.,23,HVAC,23 70 00,Central Heating Equipment,Category 23 - HVAC,23 70 00 Central Heating Equipment
Furnish and install seismic bracing for electrical equipment as indicated on drawings and per UL listed materials and components. All wiring and raceway per National Electrical Code (NEC).,26,Electrical,26 05 00,Common Work Results for Electrical,Category 26 - Electrical,26 05 00 Common Work Results for Electrical
Subject: Material Submittal – Request for approval: automatic transfer switch (ATS) 400A for use for main electrical service and distribution. Equipment to be UL 891 listed and labeled. per utility company service entrance requirements.,26,Electrical,26 20 00,Low-Voltage Electrical Distribution,Category 26 - Electrical,26 20 00 Low-Voltage Electrical Distribution
Furnish and install wired glass for fire-rated openings as indicated on drawings and per glazing contractor shop drawings. Mock-up panel required for architect approval before production.,08,Openings,08 80 00,Glazing,Category 08 - Openings,08 80 00 Glazing
Subcontractor bid for vinyl casement windows with Low-E glass. Location: for high-rise building perimeter. Windows to be factory-assembled and glazed.,08,Openings,08 50 00,Windows,Category 08 - Openings,08 50 00 Windows
Quotation for expansion tank for domestic water system for kitchen grease waste management. Includes electrical connections by others coordination required. per ASME Boiler and Pressure Vessel Code.,22,Plumbing,22 30 00,Plumbing Equipment,Category 22 - Plumbing,22 30 00 Plumbing Equipment
Vendor submittal: non-composite roof deck panels. Deck to be welded to supports at 12 inches on center. per SDI (Steel Deck Institute) standards.,05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
Vendor submittal: duct silencers and sound attenuators. TAB (Testing Adjusting Balancing) included in scope. per SMACNA HVAC Duct Construction Standards.,23,HVAC,23 30 00,HVAC Air Distribution,Category 23 - HVAC,23 30 00 HVAC Air Distribution
"This submittal covers the delivery, rigging and startup of mini-split ductless air conditioning system for office building comfort cooling. All work to comply with per ASHRAE 90.1 minimum efficiency requirements. Vibration isolation pads and curb adapter included.",23,HVAC,23 60 00,Central Cooling Equipment,Category 23 - HVAC,23 60 00 Central Cooling Equipment
VENDOR SUBMITTAL: Supply and install dry-type transformer 75 kVA 480V to 208/120V for tenant electrical metering and sub-distribution. Arc flash study and labels required per NFPA 70E. per utility company service entrance requirements.,26,Electrical,26 20 00,Low-Voltage Electrical Distribution,Category 26 - Electrical,26 20 00 Low-Voltage Electrical Distribution
Material submittal for explosion-proof lighting for hazardous locations. Emergency fixtures with 90-minute battery backup per code. Refer to per IES recommended lighting levels for occupancy type.,26,Electrical,26 50 00,Lighting,Category 26 - Electrical,26 50 00 Lighting
RE: Painting and Coating – Material submittal for elastomeric exterior wall coating. Touch-up painting at all trades damage at project completion. Refer to per project specification Section 09 90 00.,09,Finishes,09 90 00,Painting and Coating,Category 09 - Finishes,09 90 00 Painting and Coating
VENDOR SUBMITTAL: supply and installation of carpet tile modular 24x24 with adhesive including all necessary accessories and hardware. per manufacturer installation instructions.,09,Finishes,09 60 00,Flooring,Category 09 - Finishes,09 60 00 Flooring
"This submittal covers the supply and installation of backflow preventer and pressure reducing valve for restroom and kitchen plumbing rough-in. All work to comply with per ASME B31.9 building services piping. Includes all valves, supports, hangers and seismic bracing.",22,Plumbing,22 10 00,Plumbing Piping and Pumps,Category 22 - Plumbing,22 10 00 Plumbing Piping and Pumps
"PROJECT PROPOSAL: This submittal covers the procurement and mounting of vitreous china water closet (toilet) floor-mounted for public restrooms per fixture schedule. All work to comply with per project specification Section 22 40 00. Includes all trim, supplies, stops and connection fittings.",22,Plumbing,22 40 00,Plumbing Fixtures,Category 22 - Plumbing,22 40 00 Plumbing Fixtures
supply and installation of hollow metal door frames 16-gauge welded including all necessary accessories and hardware. per project specification Section 08 10 00.,08,Openings,08 10 00,Doors and Frames,Category 08 - Openings,08 10 00 Doors and Frames
RE: Plumbing Equipment – Furnish and install commercial gas-fired water heater 100-gallon as indicated on drawings and per project specification Section 22 30 00. 5-year manufacturer warranty on heat exchanger.,22,Plumbing,22 30 00,Plumbing Equipment,Category 22 - Plumbing,22 30 00 Plumbing Equipment
Material submittal for fire-rated steel doors and frames 90-minute. Finish: factory-applied powder coat paint. Refer to per door and hardware schedule on drawings.,08,Openings,08 10 00,Doors and Frames,Category 08 - Openings,08 10 00 Doors and Frames
SCOPE OF WORK DESCRIPTION: Vendor submittal: ADA-compliant accessible plumbing fixtures. Fixtures to be white vitreous china unless noted otherwise. per ASME A112.19.2 for vitreous china fixtures.,22,Plumbing,22 40 00,Plumbing Fixtures,Category 22 - Plumbing,22 40 00 Plumbing Fixtures
Material submittal for mineral wool semi-rigid insulation board. Insulation to be unfaced or kraft-faced as indicated. Refer to per manufacturer technical data and installation guide.,07,Thermal and Moisture Protection,07 20 00,Thermal Insulation,Category 07 - Thermal and Moisture Protection,07 20 00 Thermal Insulation
Supply and install glass mat gypsum sheathing for exterior for fire-rated corridor and stairwell assemblies. Partitions to achieve fire rating per UL assembly design. per project specification Section 09 20 00.,09,Finishes,09 20 00,Plaster and Gypsum Board,Category 09 - Finishes,09 20 00 Plaster and Gypsum Board
Supply and install metal deck pour stops and closures for metal building roof deck replacement. Minimum bearing length 2 inches on structural steel supports. per project specification Section 05 30 00.,05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
"Scope of work includes fabrication and installation of fabric ductwork for open ceiling areas for HVAC air distribution throughout building. Includes all hangers, supports and seismic bracing per code.",23,HVAC,23 30 00,HVAC Air Distribution,Category 23 - HVAC,23 30 00 HVAC Air Distribution
furnishing and glazing of curtain wall window system unitized including all necessary accessories and hardware. per energy code and ASHRAE 90.1 requirements.,08,Openings,08 50 00,Windows,Category 08 - Openings,08 50 00 Windows
"RE: Painting and Coating – Subcontractor bid for elastomeric exterior wall coating. Location: for millwork, casework and trim. VOC content to comply with LEED IEQ v4 requirements.",09,Finishes,09 90 00,Painting and Coating,Category 09 - Finishes,09 90 00 Painting and Coating
Subcontractor bid for cooling tower induced draft crossflow. Location: for office building comfort cooling. Factory startup and commissioning by manufacturer representative.,23,HVAC,23 60 00,Central Cooling Equipment,Category 23 - HVAC,23 60 00 Central Cooling Equipment
"Supply and install explosion-proof lighting for hazardous locations for parking garage and canopy lighting. All fixtures to be LED with minimum 50,000-hour rated life. per DesignLights Consortium (DLC) qualified products list.",26,Electrical,26 50 00,Lighting,Category 26 - Electrical,26 50 00 Lighting
SCOPE OF WORK DESCRIPTION: Request for approval: tankless instantaneous water heater for use for kitchen grease waste management. 5-year manufacturer warranty on heat exchanger. per local health and plumbing code requirements.,22,Plumbing,22 30 00,Plumbing Equipment,Category 22 - Plumbing,22 30 00 Plumbing Equipment
Subject: Material Submittal – pouring and curing of self-consolidating concrete (SCC) including all necessary accessories and hardware. per ACI 318 and ACI 301 specifications.,03,Concrete,03 30 00,Cast-in-Place Concrete,Category 03 - Concrete,03 30 00 Cast-in-Place Concrete
pouring and curing of air-entrained concrete for exterior flatwork including all necessary accessories and hardware. per approved concrete mix design.,03,Concrete,03 30 00,Cast-in-Place Concrete,Category 03 - Concrete,03 30 00 Cast-in-Place Concrete
"Request for approval: motor control center (MCC) with VFDs for use for tenant electrical metering and sub-distribution. Generator includes sub-base fuel tank, muffler and weatherproof enclosure. per NFPA 110 for emergency power systems.",26,Electrical,26 20 00,Low-Voltage Electrical Distribution,Category 26 - Electrical,26 20 00 Low-Voltage Electrical Distribution
placement of bar supports and chairs for rebar placement including all necessary accessories and hardware. in accordance with Section 03 20 00.,03,Concrete,03 20 00,Concrete Reinforcing,Category 03 - Concrete,03 20 00 Concrete Reinforcing
Supply and install acoustic insulation for interior partitions for attic floor and knee wall insulation. R-value verified by third-party testing per ASTM C518. per ASHRAE 90.1 energy code requirements.,07,Thermal and Moisture Protection,07 20 00,Thermal Insulation,Category 07 - Thermal and Moisture Protection,07 20 00 Thermal Insulation
PROJECT PROPOSAL: Vendor submittal: exterior acrylic paint system with primer. VOC content to comply with LEED IEQ v4 requirements. per MPI (Master Painters Institute) standards.,09,Finishes,09 90 00,Painting and Coating,Category 09 - Finishes,09 90 00 Painting and Coating
Subcontractor bid for concrete placement and finishing for foundations. Location: for exterior sidewalks and curbs. Water-to-cement ratio not to exceed 0.45.,03,Concrete,03 30 00,Cast-in-Place Concrete,Category 03 - Concrete,03 30 00 Cast-in-Place Concrete
Subcontractor bid for fiberglass batt insulation R-19 for exterior walls. Location: for exterior wall cavities and stud bays. Includes vapor retarder on warm side of assembly.,07,Thermal and Moisture Protection,07 20 00,Thermal Insulation,Category 07 - Thermal and Moisture Protection,07 20 00 Thermal Insulation
SCOPE OF WORK DESCRIPTION: duct installation of duct-mounted fire and smoke dampers including all necessary accessories and hardware. per mechanical drawings and duct layout schedule.,23,HVAC,23 30 00,HVAC Air Distribution,Category 23 - HVAC,23 30 00 HVAC Air Distribution
VENDOR SUBMITTAL: This submittal covers the application of spray-applied polyurethane foam insulation (SPF) for exterior wall cavities and stud bays. All work to comply with per project specification Section 07 20 00. Fire rating: Class A flame spread per ASTM E84.,07,Thermal and Moisture Protection,07 20 00,Thermal Insulation,Category 07 - Thermal and Moisture Protection,07 20 00 Thermal Insulation
Material submittal for equipment support steel framing. All exposed steel to be hot-dip galvanized after fabrication. Refer to per ADA and local building code requirements.,05,Metals,05 50 00,Metal Fabrications,Category 05 - Metals,05 50 00 Metal Fabrications
RE: Membrane Roofing – Material submittal for PVC single-ply roofing membrane with hot-air welded seams. System includes 20-year NDL (No Dollar Limit) manufacturer warranty. Refer to per FM Global and UL listed roof assembly.,07,Thermal and Moisture Protection,07 50 00,Membrane Roofing,Category 07 - Thermal and Moisture Protection,07 50 00 Membrane Roofing
procurement and installation of fire-rated glazing assemblies 60-minute including all necessary accessories and hardware. per project specification Section 08 80 00.,08,Openings,08 80 00,Glazing,Category 08 - Openings,08 80 00 Glazing
Request for approval: galvanized corrugated steel decking for use for composite floor system at all elevated levels. Includes temporary shoring during concrete placement. per composite design per AISC 360 Chapter I.,05,Metals,05 30 00,Metal Decking,Category 05 - Metals,05 30 00 Metal Decking
Material submittal for rebar dowels and starter bars. Mill certifications required for all reinforcing steel. Refer to per CRSI Manual of Standard Practice.,03,Concrete,03 20 00,Concrete Reinforcing,Category 03 - Concrete,03 20 00 Concrete Reinforcing
"SCOPE OF WORK DESCRIPTION: Proposal for supply and erection of aluminum gang forming system for elevated slab construction at level 2 through roof. Includes form stripping, cleaning, and concrete surface patching.",03,Concrete,03 10 00,Concrete Forming and Accessories,Category 03 - Concrete,03 10 00 Concrete Forming and Accessories
VENDOR SUBMITTAL: Proposal for supply and installation of glass mat gypsum sheathing for exterior for interior partitions and ceilings throughout building. Corner bead at all exposed edges and reveals.,09,Finishes,09 20 00,Plaster and Gypsum Board,Category 09 - Finishes,09 20 00 Plaster and Gypsum Board
Request for approval: fluid-applied rubberized asphalt waterproofing for use for occupied basement and parking levels. 10-year manufacturer warranty on waterproofing system. per manufacturer installation guidelines.,07,Thermal and Moisture Protection,07 10 00,Dampproofing and Waterproofing,Category 07 - Thermal and Moisture Protection,07 10 00 Dampproofing and Waterproofing
"This submittal covers the supply and placement of fiber-reinforced concrete (FRC) for slab on grade for concrete columns, beams and shear walls. All work to comply with conforming to ASTM C94 ready-mixed concrete standard. Portland cement Type I/II with 3/4 inch maximum aggregate.",03,Concrete,03 30 00,Cast-in-Place Concrete,Category 03 - Concrete,03 30 00 Cast-in-Place Concrete
"Provide all labor, materials and equipment for surge protective device (SPD) panel-mounted for emergency and standby power system. per NEC Article 230 (Services) and 240 (Overcurrent Protection). Equipment to be UL 891 listed and labeled.",26,Electrical,26 20 00,Low-Voltage Electrical Distribution,Category 26 - Electrical,26 20 00 Low-Voltage Electrical Distribution
Proposal for supply and installation of stainless steel piping for medical gas for building domestic water distribution system. Piping to be pressure tested at 1.5x operating pressure.,22,Plumbing,22 10 00,Plumbing Piping and Pumps,Category 22 - Plumbing,22 10 00 Plumbing Piping and Pumps
"VENDOR SUBMITTAL: Proposal for furnishing and pulling of electrical junction boxes, pull boxes and fittings for electrical raceway and wiring infrastructure. All wiring and raceway per National Electrical Code (NEC).",26,Electrical,26 05 00,Common Work Results for Electrical,Category 26 - Electrical,26 05 00 Common Work Results for Electrical
RE: Thermal Insulation – supply and installation of foam board insulation for slab edge including all necessary accessories and hardware. conforming to local energy conservation code.,07,Thermal and Moisture Protection,07 20 00,Thermal Insulation,Category 07 - Thermal and Moisture Protection,07 20 00 Thermal Insulation
Proposal for procurement and installation of carpet tile modular 24x24 with adhesive for gymnasium and multipurpose room. Moisture testing required per ASTM F2170 before installation.,09,Finishes,09 60 00,Flooring,Category 09 - Finishes,09 60 00 Flooring
"RE: Flooring – Provide all labor, materials and equipment for hardwood oak strip flooring 3/4-inch solid for restrooms and locker rooms. per manufacturer installation instructions. Transition strips at all flooring material changes.",09,Finishes,09 60 00,Flooring,Category 09 - Finishes,09 60 00 Flooring
BID ITEM: Material submittal for seismic bracing for electrical equipment. All wiring and raceway per National Electrical Code (NEC). Refer to per UL listed materials and components.,26,Electrical,26 05 00,Common Work Results for Electrical,Category 26 - Electrical,26 05 00 Common Work Results for Electrical
Furnish and install shaft wall liner and C-H stud system as indicated on drawings and per UL listed assembly design number. Taping and finishing to Level 4 finish per ASTM C840.,09,Finishes,09 20 00,Plaster and Gypsum Board,Category 09 - Finishes,09 20 00 Plaster and Gypsum Board
"Request for approval: elastomeric exterior wall coating for use for millwork, casework and trim. Includes surface preparation, sanding and priming. per project specification Section 09 90 00.",09,Finishes,09 90 00,Painting and Coating,Category 09 - Finishes,09 90 00 Painting and Coating
This submittal covers the installation of PVC single-ply roofing membrane with hot-air welded seams for new construction main roof and canopy areas. All work to comply with per NRCA roofing guidelines. Remove existing roofing to deck and install new system complete.,07,Thermal and Moisture Protection,07 50 00,Membrane Roofing,Category 07 - Thermal and Moisture Protection,07 50 00 Membrane Roofing
RE: Flooring – This submittal covers the supply and installation of rubber athletic flooring for gymnasium for commercial kitchen and food prep areas. All work to comply with per manufacturer installation instructions. Moisture testing required per ASTM F2170 before installation.,09,Finishes,09 60 00,Flooring,Category 09 - Finishes,09 60 00 Flooring
BID ITEM: Request for approval: computer room precision cooling unit (CRAC/CRAH) for use for building central cooling plant. Unit to be high-efficiency with minimum 14 SEER rating. per AHRI certified performance ratings.,23,HVAC,23 60 00,Central Cooling Equipment,Category 23 - HVAC,23 60 00 Central Cooling Equipment
Proposal for furnishing and commissioning of computer room precision cooling unit (CRAC/CRAH) for tenant space supplemental cooling. Factory startup and commissioning by manufacturer representative.,23,HVAC,23 60 00,Central Cooling Equipment,Category 23 - HVAC,23 60 00 Central Cooling Equipment
"Provide all labor, materials and equipment for metal stud framing 3-5/8 inch 20-gauge for interior partitions and ceilings throughout building. per UL listed assembly design number. Taping and finishing to Level 4 finish per ASTM C840.",09,Finishes,09 20 00,Plaster and Gypsum Board,Category 09 - Finishes,09 20 00 Plaster and Gypsum Board
Request for approval: EPDM rubber roofing membrane fully adhered for use for roof replacement over existing building. Remove existing roofing to deck and install new system complete. per FM Global and UL listed roof assembly.,07,Thermal and Moisture Protection,07 50 00,Membrane Roofing,Category 07 - Thermal and Moisture Protection,07 50 00 Membrane Roofing
"Subject: Material Submittal – Material submittal for point-of-use water filtration system. Equipment includes mounting, piping connections and startup. Refer to per NSF/ANSI 61 for drinking water components.",22,Plumbing,22 30 00,Plumbing Equipment,Category 22 - Plumbing,22 30 00 Plumbing Equipment
Quotation for specialty antimicrobial paint for healthcare for all interior walls and ceilings. Colors per architect-selected paint schedule. per SSPC surface preparation standards for steel.,09,Finishes,09 90 00,Painting and Coating,Category 09 - Finishes,09 90 00 Painting and Coating
Supply and install rigid XPS foam insulation board 2-inch thick for roof insulation above deck. Fire rating: Class A flame spread per ASTM E84. conforming to local energy conservation code.,07,Thermal and Moisture Protection,07 20 00,Thermal Insulation,Category 07 - Thermal and Moisture Protection,07 20 00 Thermal Insulation
Quotation for drinking fountain / bottle filler combo unit for public restrooms per fixture schedule. Chrome-plated brass faucets with ceramic disc cartridge. per ASME A112.19.2 for vitreous china fixtures.,22,Plumbing,22 40 00,Plumbing Fixtures,Category 22 - Plumbing,22 40 00 Plumbing Fixtures
"SCOPE OF WORK DESCRIPTION: Provide all labor, materials and equipment for UPS (uninterruptible power supply) 100 kVA for electrical room equipment installation. per project specification Section 26 20 00. Generator includes sub-base fuel tank, muffler and weatherproof enclosure.",26,Electrical,26 20 00,Low-Voltage Electrical Distribution,Category 26 - Electrical,26 20 00 Low-Voltage Electrical Distribution
